tag,n_rows,n_speakers,mean_duration_s
"new york accent, forcefully",1,1,14.560
"new york accent, building frustration",1,1,12.091
"new york accent, serious tone",1,1,14.741
"recovering, stronger",1,1,12.632
"new york accent, louder",1,1,11.880
"new york accent, firm voice",1,1,13.075
"new york accent, wearily",1,1,11.352
"new york accent, relieved exhale",1,1,13.211
slamming sound,1,1,13.200
sly chuckle,1,1,15.032
"welsh accent, uneasy",1,1,9.672
"new york accent, explosive volume",1,1,12.691
"welsh accent, dangerous quiet",1,1,11.200
"welsh accent, gruff tone",1,1,11.352
voice dropping cold,1,1,10.861
"welsh accent, grimly cheerful",1,1,10.861
"welsh accent, cold whisper",1,1,12.331
"welsh accent, snarling",1,1,11.211
voice cracking into sobs,1,1,12.192
accusingly quiet,1,1,12.192
marching rhythm,1,1,18.200
weary but kind,1,1,18.200
fading footsteps,1,1,18.200
"posh british accent, chuckling darkly",1,1,20.760
lengthy sigh,1,1,21.211
suddenly calmer,1,1,11.611
energetically approving,1,1,12.741
"israeli accent, coldly",1,1,15.011
encouragingly cheerful,1,1,14.301
with increasing conviction,1,1,13.624
crescendoing with celebration,1,1,17.331
triumphantly pleased,1,1,17.331
"israeli accent, exhausted",1,1,17.061
"hispanic accent, defensive",1,1,14.992
"hispanic accent, friendly tone",1,1,15.152
"hispanic accent, gracious",1,1,14.781
"hispanic accent, offended gasp",1,1,14.632
"hispanic accent, delighted shout",1,1,13.061
"hispanic accent, thoughtful",1,1,19.440
rising to shout,1,1,12.952
mockingly high pitched,1,1,14.920
"normal volume, bitter",1,1,14.920
voice drops menacingly,1,1,11.552
getting more practical,1,1,17.051
in a sardonic tone,1,1,14.880
quieting to intense whisper,1,1,16.000
calm assertion,1,1,13.571
suspicious still,1,1,15.392
in a softer rhythm,1,1,12.963
in a businesslike tone,1,1,16.440
in a thick whisper,1,1,15.040
"brazilian accent, calculating",1,1,16.880
dropping to angry whisper,1,1,13.413
reluctantly agreeing,1,1,19.043
scornful snort,1,1,15.432
screaming over them,1,1,12.491
matching volume,1,1,13.320
collapsing,1,1,14.072
fast and defensive,1,1,12.992
voice quavering violently,1,1,12.611
footsteps implied in rhythm,1,1,18.032
suddenly thrilled,1,1,11.832
voice jumping with discovery,1,1,11.832
"posh british accent, warning tone",1,1,18.360
voice wavering between annoyance and respect,1,1,14.312
"posh british accent, quietly confident",1,1,15.163
"brazilian accent, sharp",1,1,17.235
in an informative tone,1,1,18.491
suddenly tense,1,1,10.781
"russian accent, resigned",1,1,12.371
"brazilian accent, warning tone",1,1,17.792
"posh british accent, melancholic tone",1,1,17.301
"hispanic accent, practicing",1,1,13.781
"posh british accent, spluttering",1,1,16.781
"in posh british accent, wearily",1,1,17.621
"posh british accent, wounded",1,1,17.661
"posh british accent, sighing",1,1,15.432
"posh british accent, unbothered",1,1,13.491
voice becoming cutting,1,1,13.491
"hispanic accent, voice trembling with rage",1,1,18.120
"hispanic accent, prophetically",1,1,18.040
"posh british accent, slightly slurred",1,1,16.440
"hispanic accent, laughing darkly",1,1,20.341
"russian accent, mysterious smile in voice",1,1,17.872
ending in a laugh,1,1,15.312
"pause, then icily",1,1,16.531
grave pause,1,1,14.941
"posh british accent, with finality",1,1,14.941
drops to gravelly whisper,1,1,17.512
fierce laugh,1,1,22.520
"russian accent, sharp tone",1,1,13.472
resonant,1,1,19.920
"russian accent, voice booming",1,1,14.120
pausing dramatically,1,1,20.160
"russian accent, gentler",1,1,14.832
philosophical depth,1,1,18.760
determined cadence,1,1,17.763
rising authority,1,1,17.763
voice dropping to patronizing,1,1,20.080
"texas drawl, mock offense",1,1,11.811
formal pronunciation,1,1,17.971
"russian accent, authoritative tone",1,1,17.992
normal voice cutting in,1,1,14.115
"russian accent, angry burst",1,1,14.115
voice trailing off suggestively,1,1,12.680
"texas accent, diplomatically",1,1,12.680
"texas accent, satisfied",1,1,13.651
patronizingly slow,1,1,20.112
"texas drawl, innocently",1,1,13.432
voice rising in surprise,1,1,11.160
"texas accent, conciliatory tone",1,1,12.032
"russian accent, menacing whisper",1,1,16.581
"russian accent, booming laughter",1,1,16.613
gruff again,1,1,17.472
"russian accent, jovial shout",1,1,18.221
"in jamaican patois, firmly",1,1,13.952
"texas accent, leaning in conspiratorially",1,1,12.411
"texas drawl, apologetically",1,1,11.632
"russian accent, intrigued hum",1,1,17.272
"jamaican patois, emotional",1,1,13.480
voice rising with intensity,1,1,13.651
"jamaican patois, thunderous",1,1,15.773
"jamaican patois, grateful",1,1,15.197
"jamaican patois, quieter",1,1,17.101
"jamaican patois, trembling",1,1,15.541
giggling with surprise,1,1,14.931
attempting pronunciation joyfully,1,1,9.792
"russian accent, curiously soft",1,1,15.640
"eastern european accent, sincerely",1,1,13.320
gleaming with pride,1,1,15.781
more zealously,1,1,15.781
with new resolve,1,1,14.941
"softer, wearily",1,1,18.811
"texas drawl, whistling low",1,1,18.811
anger building,1,1,18.811
"eastern european accent, earnestly",1,1,15.141
gasping with excitement,1,1,12.339
speaking with growing enthusiasm,1,1,15.832
in delighted surprise,1,1,15.011
in a rejoicing tone,1,1,15.891
gleefully curious,1,1,14.213
voice resonating with joy,1,1,15.360
more exultantly,1,1,15.360
threateningly cheerful,1,1,19.421
dreamily hopeful,1,1,11.040
voice lifting with possibility,1,1,11.040
"eastern european accent, seriously",1,1,14.571
"in eastern european accent, enthusiastically",1,1,17.472
"eastern european accent, pleading tone",1,1,14.160
"eastern european accent, warmly",1,1,15.024
"russian accent, laughing darkly",1,1,13.280
"in eastern european accent, proudly",1,1,17.901
"in russian accent, gravely",1,1,13.872
"russian accent, conclusive",1,1,12.752
"back to accent, gentler",1,1,17.541
"russian accent, whispering intensely",1,1,12.771
"louder, more ominous",1,1,12.771
"russian accent, stern",1,1,15.312
darkly chuckling,1,1,14.000
"back to russian accent, sharper",1,1,17.171
voice slowing down eerily,1,1,15.141
"russian accent, hypnotically",1,1,15.141
alternatively,1,1,21.331
technical pride,1,1,21.331
"russian accent, intrigued",1,1,16.520
"russian accent, ominously quiet",1,1,19.312
"russian accent, melodically",1,1,15.800
voice becoming harsh,1,1,15.800
"russian accent, dismissive tone",1,1,18.821
"japanese accent, enthusiastic",1,1,16.352
"back to accent, more contained",1,1,16.352
"japanese accent, flustered",1,1,15.912
more measured pace,1,1,15.912
"japanese accent, apologetic",1,1,17.611
sudden resolve,1,1,12.992
"japanese accent, relieved",1,1,16.221
"japanese accent, pleased",1,1,15.320
"japanese accent, serious",1,1,18.752
attempting confidence,1,1,15.341
worried rise in pitch,1,1,13.352
merry,1,1,13.141
gladly,1,1,12.491
voice dancing with humor,1,1,12.491
"russian accent, bitter laugh",1,1,12.392
"russian accent, surprisingly warm",1,1,18.040
"russian accent, confident",1,1,15.160
long thinking grunt,1,1,15.611
formal challenge,1,1,13.952
listing happily,1,1,15.512
noble declaration,1,1,14.203
prouder voice,1,1,14.312
trying to smile through tears,1,1,12.160
charging forward,1,1,16.192
battle roar,1,1,16.192
appreciative grunt,1,1,14.200
drawing sword sound,1,1,15.331
voice climbing with wonder,1,1,15.392
flowing together quickly,1,1,13.432
melancholic reflection,1,1,16.880
"brazilian accent, serious",1,1,13.120
"brazilian accent, defensive",1,1,13.181
"brazilian accent, measured tone",1,1,13.672
voice becoming apologetic,1,1,15.152
"brazilian accent, cautiously optimistic",1,1,10.552
"brazilian accent, warming up",1,1,13.352
voice gaining confidence,1,1,13.352
words tumbling out faster with nervousness,1,1,9.920
clicking tongue rapidly,1,1,14.152
urgent pressure,1,1,14.152
menacing undertone,1,1,14.152
over-the-top enthusiasm,1,1,12.731
building like a preacher,1,1,12.731
speeding through disclaimer,1,1,12.200
big exhale,1,1,12.200
ramping up enthusiasm,1,1,12.680
breezy indifference,1,1,12.680
lowering to mysterious whisper,1,1,12.680
more demanding,1,1,12.661
dismissively casual,1,1,16.331
building dramatic tension,1,1,16.331
grandiose declaration,1,1,17.971
dropping low and serious,1,1,17.971
oily persuasion,1,1,15.680
stage whisper getting quieter,1,1,15.680
voice lifting with a question,1,1,10.973
"israeli accent, all business",1,1,11.411
"israeli accent, suspicious",1,1,12.683
"pause, then harder",1,1,12.440
"israeli accent, grim humor",1,1,13.160
crescendoing with emotion,1,1,16.760
voice softening then lifting,1,1,20.261
"israeli accent, thoughtful",1,1,13.731
trembling with happiness,1,1,17.131
stunned delight,1,1,11.592
voice skipping,1,1,9.720
"defensive, then crumbling",1,1,14.101
building rapidly,1,1,12.320
wondering disbelief,1,1,13.352
"northern irish accent, roughly",1,1,9.560
desperate gratitude,1,1,20.344
emotional squeal,1,1,11.872
"northern irish accent, authoritative",1,1,13.200
"northern irish accent, weary sigh",1,1,13.992
"northern irish accent, dismissive laugh",1,1,12.581
"northern irish accent, sharp intake",1,1,10.571
supportive voice,1,1,16.941
"northern irish accent, softer now",1,1,15.381
voice reaching peaks,1,1,15.091
dissolving into happy tears,1,1,15.091
hiccupping with happiness,1,1,14.451
"irish accent, determined",1,1,9.997
"cockney accent, hopefully",1,1,9.939
"irish accent, reverently",1,1,11.565
"irish accent, warm tone",1,1,13.256
"irish accent, intrigued",1,1,10.040
"northern irish accent, cynically",1,1,10.317
"cockney accent, interrupting eagerly",1,1,11.624
"in cockney accent, pleading",1,1,11.789
"northern irish accent, dryly",1,1,10.637
"cockney accent, desperately",1,1,13.251
loud scoff,1,1,15.683
"northern irish accent, sharply",1,1,10.717
"in cockney accent, defensive tone",1,1,15.096
"cockney accent, respectfully",1,1,14.408
"cockney accent, confidently",1,1,16.789
"cockney accent, emotional whisper",1,1,17.427
"northern irish accent, grimly",1,1,13.709
"eastern european accent, determinedly",1,1,13.661
"eastern european accent, hopefully",1,1,15.208
"irish accent, sarcastic tone",1,1,15.267
"irish accent, wounded",1,1,13.517
"irish accent, firm but friendly",1,1,16.851
gradually building volume,1,1,10.227
almost breathless,1,1,10.227
"eastern european accent, pleadingly",1,1,12.595
"irish accent, trembling with rage",1,1,14.664
"irish accent, wistful",1,1,14.581
"irish accent, mocking",1,1,18.477
trailing down,1,1,11.608
erupting in approval,1,1,16.549
voice swelling with satisfaction,1,1,16.549
melodic praise,1,1,16.549
voice softening with sympathy,1,1,21.077
amused and impressed,1,1,14.280
voice bubbling with surprise,1,1,14.280
quietly laughing,1,1,20.584
voice rippling with affection,1,1,19.736
"irish accent, soothing",1,1,11.736
"irish accent, concerned",1,1,11.829
"irish accent, cheerful",1,1,12.947
thoughtful drone,1,1,21.139
rumbling grumble,1,1,21.139
mystical tone,1,1,21.368
"jamaican patois, quiet menace",1,1,14.093
"jamaican patois, indignant shout",1,1,14.093
"slow, ponderous tone",1,1,21.587
bitter laugh turning angry,1,1,15.352
determined rhythm,1,1,14.829
"jamaican patois, contemptuous whisper",1,1,13.672
"louder, mocking",1,1,13.672
"jamaican patois, determined growl",1,1,14.792
"irish accent, bitter tone",1,1,14.445
grinding noise in throat,1,1,24.656
voice creaking like wood,1,1,24.152
pausing heavily,1,1,24.152
voice warm with conviction,1,1,13.187
"irish accent, exasperated",1,1,12.045
thunderous sigh,1,1,22.043
earth-shaking guffaw,1,1,23.880
"jamaican patois, weary sigh",1,1,15.693
"irish accent, gentler now",1,1,14.216
"jamaican patois, proud defiance",1,1,15.779
"loud, ringing voice",1,1,15.779
echoing deeply,1,1,24.584
massive exhale,1,1,24.584
"voice starting low, building higher",1,1,24.947
in focused concentration,1,1,11.400
suddenly triumphant,1,1,11.400
"voice breaking, crying while speaking",1,1,11.181
"posh british accent, slurring slightly",1,1,14.227
"irish accent, cheerfully",1,1,12.643
"irish accent, warming up",1,1,12.435
voice dropping to emotional whisper,1,1,14.259
breaks into relieved laughter,1,1,13.608
"irish accent, passionately",1,1,11.635
"posh british accent, prophetically",1,1,14.283
"posh british accent, suddenly sharp",1,1,14.261
in awestruck whisper,1,1,15.197
voice lifting in fascination,1,1,11.645
chattering excitedly,1,1,11.645
faster and more excited,1,1,14.877
voice dropping to a conspiratorial whisper,1,1,14.221
"irish accent, rising anger",1,1,11.091
building to joyful tears,1,1,14.691
"irish accent, trembling",1,1,13.507
enormous yawn,1,1,35.973
"slowly, peacefully",1,1,35.973
in businesslike cadence,1,1,5.755
speeds up with enthusiasm,1,1,6.387
picking up momentum,1,1,7.608
energetic agreement,1,1,7.885
speaking more quickly,1,1,7.669
reluctantly warmer,1,1,10.525
voice rising with each point,1,1,7.664
reciprocating warmth,1,1,7.880
brightly laughing,1,1,9.240
touched laugh,1,1,10.659
gently bright,1,1,11.112
getting urgent,1,1,7.160
voice rising with mischief,1,1,7.568
trailing off defeated,1,1,6.123
voice trembling with appreciation,1,1,8.677
"geordie accent, whispered",1,1,5.936
voice dripping with suggestion,1,1,9.360
hurried footsteps,1,1,6.923
horrified realization,1,1,6.923
low and confident,1,1,8.984
voice dropping to urgency,1,1,6.563
getting shriller,1,1,4.397
rapidly with thrill,1,1,5.304
"geordie accent, trembling",1,1,7.213
voice pitching up with joy,1,1,6.405
"german accent, concerned",1,1,7.293
"german accent, curious whisper",1,1,8.531
voice descending to concern,1,1,6.629
conspiratorially quiet,1,1,9.997
voice plummeting suddenly,1,1,8.267
"geordie accent, gravely",1,1,8.560
"geordie accent, submissively",1,1,9.315
"german accent, contemplative murmur",1,1,10.120
"german accent, warmer",1,1,10.120
"geordie accent, relieved sigh",1,1,7.437
voice wavering between words,1,1,9.829
increasingly somber,1,1,9.915
"german accent, gentle tone",1,1,9.915
"geordie accent, ominously",1,1,9.312
"dutch accent, increasingly nervous",1,1,8.464
"dutch accent, softer",1,1,6.861
continuing anyway,1,1,7.811
"dutch accent, chuckling",1,1,8.936
sobbing between words,1,1,7.851
"german accent, thoughtful hum",1,1,10.133
"dutch accent, measured and calm",1,1,8.797
voice becoming diplomatic,1,1,8.797
animated voice,1,1,9.429
"in german accent, precise articulation",1,1,12.197
dully,1,1,8.629
cheerfully declaring,1,1,8.736
increasing in warmth,1,1,8.736
cynical laugh,1,1,9.219
"german accent, amused chuckle",1,1,9.491
"geordie accent, grimly",1,1,10.445
"dutch accent, equally cautious",1,1,10.056
"german accent, lighter",1,1,11.200
"german accent, cautious tone",1,1,11.200
ending with pure joy,1,1,9.195
"german accent, laughing warmly",1,1,9.781
"german accent, slow realization",1,1,12.552
"german accent, apologetic murmur",1,1,10.147
tone softening with amusement,1,1,9.280
warming up gradually,1,1,10.595
quick adjustment,1,1,10.560
"caribbean accent, wounded tone",1,1,10.560
in a firm declaration,1,1,13.360
in a grave tone,1,1,13.771
"caribbean accent, firm conviction",1,1,11.861
"caribbean accent, pleading quality",1,1,13.072
"caribbean accent, passionate plea",1,1,13.141
with increasing emotion,1,1,16.000
"caribbean accent, thunderous",1,1,13.371
"caribbean accent, defensively",1,1,10.901
"caribbean accent, weary sigh",1,1,14.680
passionate plea,1,1,11.781
"accent again, confidently",1,1,13.741
"in caribbean accent, defiantly",1,1,10.571
"caribbean accent, intensely",1,1,13.821
"caribbean accent, softer",1,1,13.560
"caribbean accent, bitterly amused",1,1,8.640
"caribbean accent, sharp intake",1,1,11.920
"caribbean accent, sharply",1,1,13.640
"caribbean accent, unflinching",1,1,10.181
"caribbean accent, contemptuous",1,1,13.800
"caribbean accent, authoritative tone",1,1,16.221
"caribbean accent, quiet fury",1,1,13.960
"caribbean accent, dignified",1,1,14.651
mock-offended,1,1,10.981
"regular voice, defensively",1,1,10.981
self-correcting,1,1,13.411
"caribbean accent, unafraid",1,1,14.101
"quieter, more deadly",1,1,12.912
"caribbean accent, lilting tone",1,1,11.251
accelerating coldly,1,1,13.101
abruptly businesslike,1,1,13.101
"caribbean accent, firm but warm",1,1,12.531
dismissively fast,1,1,13.741
honeyed sweetness,1,1,13.811
rapidly businesslike,1,1,13.811
"caribbean accent, melodic rhythm",1,1,11.352
"chinese accent, more friendly",1,1,15.101
flowing faster,1,1,13.421
irritated staccato,1,1,13.421
"rhythmic, rehearsed",1,1,14.040
"chinese accent, with dignity",1,1,12.931
voice becoming knowing,1,1,14.293
voice tight with emotion,1,1,10.152
louder and clearer,1,1,16.352
"speaking close, intimate",1,1,10.821
"chinese accent, reassuringly",1,1,14.901
rushing the words,1,1,10.880
carefully tentative,1,1,10.880
"chinese accent, friendly",1,1,13.061
brittle cheerfulness,1,1,15.501
measured cruelty,1,1,15.501
harsh transition,1,1,15.501
trembling sigh,1,1,12.800
wounded but calm,1,1,11.040
angry suddenly,1,1,14.851
"chinese accent, more neutral",1,1,13.971
sharply warmer,1,1,5.952
"caribbean accent, steady rhythm",1,1,11.811
"softer, almost singing",1,1,11.811
"caribbean accent, sharp retort",1,1,10.480
"caribbean accent, warming",1,1,13.400
tone getting softer,1,1,7.600
"caribbean accent, playfully",1,1,11.920
sings out,1,1,8.171
"caribbean accent, conclusive",1,1,10.781
squeaks with joy,1,1,10.552
voice dropping to intense whisper,1,1,9.931
claps excitedly,1,1,10.032
"japanese accent, excited",1,1,13.232
grunting approval,1,1,9.512
excited cackle,1,1,9.512
slowing down mockingly,1,1,14.851
playful warning tone,1,1,12.331
shouting over music,1,1,11.960
trailing into hiss,1,1,11.931
with exaggerated interest,1,1,14.272
getting breathless with enthusiasm,1,1,12.080
reluctant mumble,1,1,13.760
confused snarl,1,1,14.491
"softer, sadly",1,1,2.352
voice becoming proud,1,1,2.400
"jamaican accent, dismissive",1,1,2.400
"filipino accent, sarcastically",1,1,1.821
"filipino accent, earnestly",1,1,1.741
flat whisper,1,1,18.491
increasingly vacant,1,1,18.491
"filipino accent, harder edge",1,1,2.475
"filipino accent, shakily",1,1,1.811
"filipino accent, resigned",1,1,2.541
"filipino accent, trembling",1,1,2.171
desperate energy returning,1,1,15.781
apologetically fast,1,1,16.781
wistful monotone,1,1,18.611
breaking into happy sobs,1,1,22.411
voice swelling with love,1,1,22.411
in reverie,1,1,19.624
rustling exhale,1,1,19.624
in a hushed excitement,1,1,19.101
in a gentle murmur,1,1,17.672
voice drifting slower,1,1,17.672
in quiet wonder,1,1,19.781
tenderly nostalgic,1,1,19.992
affectionate whisper,1,1,20.331
voice dancing lightly,1,1,20.331
dramatically loud,1,1,15.651
embarrassed but happy,1,1,20.963
gradually more theatrical,1,1,18.261
breathing happily,1,1,18.811
in a softer voice,1,1,17.952
still sarcastic but interested,1,1,21.931
confessionally,1,1,17.141
voice meandering,1,1,24.632
in a lullaby tone,1,1,24.632
dizzy with joy,1,1,22.472
cheerfully resigned,1,1,15.080
protesting loudly,1,1,15.080
"louder, addressing crew",1,1,15.611
"interrupted, shouting",1,1,17.112
clear articulation,1,1,14.541
quickly anxious,1,1,16.536
whispered determination,1,1,16.536
interrupting self louder,1,1,23.712
calmer tone,1,1,23.712
calmer but happy,1,1,15.635
groaning comically,1,1,20.715
appreciation growing,1,1,14.285
getting more forceful,1,1,17.373
exasperated bellow,1,1,17.384
reflecting warmly,1,1,18.035
voice filling with joy,1,1,14.280
voice heavy with disgust,1,1,15.272
booming response,1,1,15.272
measured and firm,1,1,18.547
voice booming louder,1,1,17.779
with emotion,1,1,23.411
exhausted bellow,1,1,20.547
recognition dawning in voice,1,1,15.923
voice lifting with pleasure,1,1,16.413
voice becoming sly,1,1,22.312
squeaky panic,1,1,22.312
pace slowing with each word,1,1,33.651
enthusiastic shrieking,1,1,23.384
voice resonating with happiness,1,1,19.107
returning cheerfully,1,1,16.397
advising,1,1,16.499
"jamaican accent, impressed",1,1,16.867
"jamaican accent, skeptical",1,1,20.515
"jamaican accent, inspired",1,1,18.851
"jamaican accent, determined",1,1,19.277
matching his energy,1,1,16.803
voice ringing with certainty,1,1,16.803
laughs brightly,1,1,21.240
in a shrill tone,1,1,9.851
"jamaican accent, emotional",1,1,20.547
voice cresting with joy,1,1,18.365
building triumphantly,1,1,18.365
voice shining with pride,1,1,18.365
in a wavering shriek,1,1,13.429
"filipino accent, steadier",1,1,20.896
ending with delighted emphasis,1,1,21.035
in pure hysteria,1,1,15.808
in a threatening whisper,1,1,13.699
"jamaican accent, thoughtful",1,1,26.371
in a venomous tone,1,1,17.285
exploding into rage,1,1,14.525
encouragingly soft,1,1,23.213
in a breaking shout,1,1,18.664
"filipino accent, thoughtful pause",1,1,25.091
delighted sigh,1,1,18.968
rapidly deteriorating control,1,1,18.832
in a hoarse shout,1,1,18.832
getting quieter but more venomous,1,1,16.779
in a shaking roar,1,1,16.779
in teaching tone,1,1,24.104
trying to lighten mood,1,1,21.104
firmly decisive,1,1,23.893
"filipino accent, solemn",1,1,24.125
voice quivering emotionally,1,1,18.192
shouting with love,1,1,14.491
dropping to a kind murmur,1,1,10.360
"filipino accent, firmer",1,1,26.800
agreeing heartily,1,1,18.024
warm smile in voice,1,1,21.293
ceremonially,1,1,23.523
rising strength,1,1,22.520
ethereal calm,1,1,22.520
"scouse accent, frustrated",1,1,12.171
warmly surprised,1,1,16.728
quavering voice,1,1,16.435
voice becoming hopeful,1,1,13.451
more earnest,1,1,18.749
"scouse accent, matching his intensity",1,1,13.651
"scouse accent, building intensity",1,1,13.832
mumbling sadly,1,1,21.896
faster each word,1,1,19.192
"scouse accent, softly",1,1,14.581
"scouse accent, gently mocking",1,1,16.451
infinite compassion,1,1,25.608
agreeable grunt,1,1,25.251
complaining loudly,1,1,25.251
chomp sound,1,1,25.251
more sincere,1,1,21.352
"dutch accent, sympathetic tone",1,1,13.843
pure clarity,1,1,26.429
mockingly fancy,1,1,29.763
patiently amused,1,1,13.960
flowing words,1,1,28.944
"back to accent, icily",1,1,14.072
"dutch accent, incredulous",1,1,14.773
"dutch accent, cautiously",1,1,16.501
grumpy tone,1,1,24.952
building with certainty,1,1,13.381
dreamily slower,1,1,13.381
"british accent, calculating",1,1,14.411
voice becoming interested,1,1,14.411
"dutch accent, calm delivery",1,1,14.752
"dutch accent, frustrated shout",1,1,12.091
revolted tone,1,1,28.061
whispers secretively,1,1,14.352
"british accent, haughty",1,1,16.691
"british accent, intrigued",1,1,13.611
"british accent, decisively",1,1,12.371
more greedily,1,1,14.712
"back to accent, warningly",1,1,14.021
"london accent, thundering",1,1,17.651
"london accent, gravely",1,1,17.651
philosophical growl,1,1,29.963
"dutch accent, measured words",1,1,20.131
voice speeding up hopefully,1,1,20.131
"posh london accent, pompously",1,1,16.741
"london accent, more naturally",1,1,16.741
footsteps,1,1,18.621
"london accent, moved",1,1,18.821
"london accent again, firmly",1,1,18.821
sputtering laugh,1,1,11.181
"london accent, booming",1,1,16.440
pretentious tone,1,1,28.605
voice dropping to a grumble,1,1,16.021
"british accent, bitterly",1,1,17.051
timeless patience,1,1,35.939
more deeply,1,1,35.939
"normal accent, appreciatively",1,1,15.181
"british accent, calculating tone",1,1,15.181
voice becoming steely,1,1,15.181
"british accent, quietly menacing",1,1,13.251
"london accent, grandly",1,1,19.261
sudden frustration,1,1,21.331
"british accent, weakly",1,1,21.331
"london accent, quietly awed",1,1,21.240
"back to british, shakily",1,1,15.301
normal accent slipping in,1,1,15.301
brightening rapidly,1,1,11.112
yelling across room,1,1,16.181
gruff british accent,1,1,15.931
"british accent, mocking",1,1,18.000
"british accent, dismissive tone",1,1,21.421
"british accent, stammering",1,1,19.912
getting panicky,1,1,13.912
nauseated,1,1,13.912
"british accent, snarling",1,1,19.832
"british accent, condescending tone",1,1,22.021
voice becoming more nasal,1,1,22.021
voice fluttering with excitement,1,1,14.781
gleeful announcement,1,1,14.781
voice dropping to hurt whisper,1,1,13.992
rhythm slowing with weight,1,1,17.112
building intensity through tears,1,1,15.301
trembling but certain,1,1,18.672
"australian accent, uncomfortable",1,1,12.483
"australian accent, wonderstruck",1,1,14.120
voice becoming gravelly,1,1,14.640
"australian accent, impressed",1,1,13.080
"in australian accent, warmly",1,1,19.621
"australian accent, respectful",1,1,14.352
rushing with ideas,1,1,19.131
"in australian accent, defensive",1,1,16.731
"british accent, huffily",1,1,22.931
"australian accent, warm agreement",1,1,13.312
"australian accent, brightening",1,1,14.541
"in australian accent, casual drawl",1,1,17.213
interrupting self,1,1,15.411
knowing,1,1,15.411
"in australian accent, defensive pride",1,1,13.661
"australian accent, moved",1,1,17.291
"australian accent, nostalgically",1,1,14.731
"australian accent, proudly",1,1,15.360
"australian accent, flustered",1,1,15.691
"normal voice, suddenly worried",1,1,18.011
"australian accent, passionate",1,1,18.011
excitedly stumbling over words,1,1,12.171
"australian accent, laughing",1,1,18.952
"australian accent, touched",1,1,15.781
"australian accent, steadier",1,1,15.781
"australian accent, agreement in voice",1,1,16.211
"australian accent, emotional",1,1,18.501
descriptively slower,1,1,18.181
"australian accent, explosive enthusiasm",1,1,17.181
"australian accent, more controlled",1,1,17.181
joyfully sobbing,1,1,18.491
recovering brightly,1,1,18.491
"australian accent, voice bright",1,1,22.712
in reverent tone,1,1,18.331
building with fake indignation,1,1,13.283
words tumbling out in pure delight,1,1,12.021
"pause, then firmly",1,1,17.792
affectionate murmur,1,1,11.651
voice dripping with intrigue,1,1,14.480
in a cheerful rush,1,1,15.504
speeding up cheerfully,1,1,12.061
in a warm rumble,1,1,12.061
ebulliently,1,1,15.781
voice crescendoing with pure joy,1,1,18.880
speaking faster with purpose,1,1,13.811
words slowing with fatigue,1,1,15.371
muffled scream,1,1,15.432
bitter trembling,1,1,15.432
voice cracking on each word,1,1,16.891
vulnerability returning,1,1,15.120
increasingly powerful,1,1,15.192
gentler but thrilled,1,1,17.491
whispered with awe,1,1,19.291
cackling joyously,1,1,17.611
softer and sincere,1,1,19.200
in mock pain,1,1,21.072
celebrating loudly,1,1,13.891
firm and warm,1,1,16.581
drowsily sarcastic,1,1,23.280
brave voice,1,1,13.880
hopefully cheerful,1,1,17.040
harmoniously happy,1,1,17.040
dramatically exhausted,1,1,23.320
begrudgingly grateful,1,1,23.320
contented groan,1,1,23.320
generous tone,1,1,15.101
furiously fast,1,1,10.760
heartfelt tone,1,1,15.512
innocent confusion,1,1,16.080
impressed laughter,1,1,16.131
with grim resolve,1,1,17.272
rallying strength,1,1,20.472
squealing with realization,1,1,10.531
rapidly giggling,1,1,10.531
accusatory but warm,1,1,16.360
bubbling with questions,1,1,10.661
weakly but happy,1,1,16.440
more exasperated,1,1,17.523
nostalgically joyful,1,1,15.933
increasingly direct,1,1,19.472
shouting joyously,1,1,12.680
proudly bellowing,1,1,17.181
melancholy,1,1,17.784
firmly jubilant,1,1,17.293
voice rising with promise,1,1,14.392
jubilantly loud,1,1,17.272
rushes to finish sentence,1,1,10.043
voice bright with inspiration,1,1,12.861
teary whisper,1,1,18.771
"northern irish accent, flustered",1,1,2.608
triumphant stomp,1,1,2.317
in mock-serious tone,1,1,2.317
"scottish accent, melodically",1,1,16.235
rhythmic clip-clop,1,1,2.939
alternating high and low,1,1,2.939
each word more offended,1,1,3.680
triumphant whinny,1,1,3.680
neighing laugh,1,1,3.088
sleepy but happy,1,1,19.792
"northern irish accent, quiet defeat",1,1,2.779
"stronger, but sad",1,1,2.779
"scottish accent, surprised",1,1,15.453
approving grunt,1,1,16.837
"scottish accent, teasingly",1,1,17.608
voice dripping with amusement,1,1,17.608
"scottish accent, pompously",1,1,18.091
"scottish accent, melancholy",1,1,19.853
increasingly pompous,1,1,3.989
"northern irish accent, defensive tone",1,1,3.981
"scottish accent, thunderously",1,1,17.677
"jamaican patois, steadier",1,1,2.096
"cockney accent, pleading tone",1,1,16.096
"cockney accent, sharp laugh",1,1,11.917
"scottish accent, dismissively",1,1,14.661
"cockney accent, menacing whisper",1,1,14.925
louder and angrier,1,1,14.925
"cockney accent, mocking",1,1,16.936
"in scottish accent, skeptically",1,1,18.040
"cockney accent, flustered",1,1,16.309
"cockney accent, defensive grunt",1,1,20.904
"scottish accent, sympathetically",1,1,15.104
suddenly higher energy,1,1,12.899
"cockney accent, solemn",1,1,12.797
"jamaican patois, fierce",1,1,2.637
"jamaican patois, sharp tone",1,1,2.437
